Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2023,Augusta National Golf Club,1,15,5,4.59,4,38,37,3,4,-1,-1
2023,Augusta National Golf Club,1,16,3,2.84,0,23,54,9,0,-1,-1
2023,Augusta National Golf Club,1,17,4,4.16,0,6,62,16,2,-1,-1
2023,Augusta National Golf Club,1,18,4,4.1,0,16,46,23,1,-1,-1
2024,Augusta National Golf Club,4,1,4,4.283,0,5,35,18,2,-1,-1
2024,Augusta National Golf Club,4,2,5,4.483,4,27,25,4,0,-1,-1
2024,Augusta National Golf Club,4,3,4,3.917,2,11,37,10,0,-1,-1
2024,Augusta National Golf Club,4,4,3,3.167,0,7,38,14,0,-1,-1
2024,Augusta National Golf Club,4,5,4,4.3,0,4,36,19,0,-1,-1
2024,Augusta National Golf Club,4,6,3,3.117,0,6,41,13,0,-1,-1
2024,Augusta National Golf Club,4,7,4,3.95,0,16,33,9,2,-1,-1
2024,Augusta National Golf Club,4,8,5,4.75,0,21,34,4,1,-1,-1
2024,Augusta National Golf Club,4,9,4,3.967,0,13,37,9,1,-1,-1
2024,Augusta National Golf Club,4,10,4,4.183,0,9,32,18,1,-1,-1
2024,Augusta National Golf Club,4,11,4,4.2,0,4,43,10,3,-1,-1
2024,Augusta National Golf Club,4,12,3,3.183,0,5,46,4,4,-1,-1
2024,Augusta National Golf Club,4,13,5,4.833,0,23,26,9,2,-1,-1
2024,Augusta National Golf Club,4,14,4,3.85,0,16,37,7,0,-1,-1
2024,Augusta National Golf Club,4,15,5,4.767,1,20,31,8,0,-1,-1
2024,Augusta National Golf Club,4,16,3,3.033,0,11,40,5,4,-1,-1
2024,Augusta National Golf Club,4,17,4,4.4,0,1,37,19,3,-1,-1
2024,Augusta National Golf Club,4,18,4,4.1,0,6,42,12,0,-1,-1
2024,Augusta National Golf Club,3,1,4,4.067,0,9,38,13,0,-1,-1
2024,Augusta National Golf Club,3,2,5,4.783,1,17,37,4,1,-1,-1
2024,Augusta National Golf Club,3,3,4,3.9,0,19,30,10,0,-1,-1
2024,Augusta National Golf Club,3,4,3,3.333,0,1,39,19,1,-1,-1
2024,Augusta National Golf Club,3,5,4,4.217,0,3,43,12,2,-1,-1
2024,Augusta National Golf Club,3,6,3,3.167,0,3,45,11,1,-1,-1
2024,Augusta National Golf Club,3,7,4,4.35,0,3,37,16,4,-1,-1
2024,Augusta National Golf Club,3,8,5,4.617,0,27,30,2,1,-1,-1
2024,Augusta National Golf Club,3,9,4,4.017,0,9,42,8,1,-1,-1
2024,Augusta National Golf Club,3,10,4,4.35,0,6,35,13,4,-1,-1
2024,Augusta National Golf Club,3,11,4,4.25,0,6,37,13,4,-1,-1
2024,Augusta National Golf Club,3,12,3,3.283,0,8,32,15,5,-1,-1
2024,Augusta National Golf Club,3,13,5,4.667,1,24,29,6,0,-1,-1
2024,Augusta National Golf Club,3,14,4,4.133,1,9,32,17,1,-1,-1
2024,Augusta National Golf Club,3,15,5,5.1,0,10,36,12,2,-1,-1
2024,Augusta National Golf Club,3,16,3,3.183,0,4,43,11,2,-1,-1
2024,Augusta National Golf Club,3,17,4,4.417,0,4,34,18,1,-1,-1
2024,Augusta National Golf Club,3,18,4,4.467,0,5,30,18,6,-1,-1
2024,Augusta National Golf Club,2,1,4,4.225,0,7,58,21,3,-1,-1
2024,Augusta National Golf Club,2,2,5,4.607,1,42,39,6,0,-1,-1
2024,Augusta National Golf Club,2,3,4,4.034,1,14,59,13,0,-1,-1
2024,Augusta National Golf Club,2,4,3,3.36,0,5,49,33,2,-1,-1
2024,Augusta National Golf Club,2,5,4,4.315,0,4,54,30,1,-1,-1
2024,Augusta National Golf Club,2,6,3,3.079,0,11,60,18,0,-1,-1
2024,Augusta National Golf Club,2,7,4,4.416,0,7,43,34,5,-1,-1
2024,Augusta National Golf Club,2,8,5,4.82,1,23,56,9,0,-1,-1
2024,Augusta National Golf Club,2,9,4,4.056,0,17,51,20,1,-1,-1
2024,Augusta National Golf Club,2,10,4,4.202,0,11,51,25,2,-1,-1
2024,Augusta National Golf Club,2,11,4,4.629,0,1,46,30,10,-1,-1
2024,Augusta National Golf Club,2,12,3,3.281,0,12,49,21,5,-1,-1
2024,Augusta National Golf Club,2,13,5,4.888,0,25,50,13,1,-1,-1
2024,Augusta National Golf Club,2,14,4,4.315,0,6,53,26,4,-1,-1
2024,Augusta National Golf Club,2,15,5,5.034,0,14,62,9,4,-1,-1
2024,Augusta National Golf Club,2,16,3,3.225,0,10,53,22,4,-1,-1
2024,Augusta National Golf Club,2,17,4,4.169,0,9,58,20,2,-1,-1
2024,Augusta National Golf Club,2,18,4,4.427,0,7,45,30,6,-1,-1
2024,Augusta National Golf Club,1,1,4,4.236,0,7,57,22,3,-1,-1
2024,Augusta National Golf Club,1,2,5,4.742,1,29,53,4,2,-1,-1
2024,Augusta National Golf Club,1,3,4,3.865,0,21,60,7,1,-1,-1
2024,Augusta National Golf Club,1,4,3,3.191,0,3,68,16,2,-1,-1
2024,Augusta National Golf Club,1,5,4,4.348,0,4,55,25,5,-1,-1
2024,Augusta National Golf Club,1,6,3,3.056,0,11,62,16,0,-1,-1
2024,Augusta National Golf Club,1,7,4,4.034,0,12,62,15,0,-1,-1
2024,Augusta National Golf Club,1,8,5,4.404,3,50,33,3,0,-1,-1
2024,Augusta National Golf Club,1,9,4,4.056,0,14,56,19,0,-1,-1
2024,Augusta National Golf Club,1,10,4,4.27,0,5,57,25,2,-1,-1
2024,Augusta National Golf Club,1,11,4,4.36,0,6,48,32,3,-1,-1
2024,Augusta National Golf Club,1,12,3,3.067,0,15,58,12,3,-1,-1
2024,Augusta National Golf Club,1,13,5,4.64,3,36,42,6,2,-1,-1
2024,Augusta National Golf Club,1,14,4,4.27,0,6,55,26,2,-1,-1
2024,Augusta National Golf Club,1,15,5,5.079,0,24,47,8,8,-1,-1
2024,Augusta National Golf Club,1,16,3,3.157,0,17,49,16,6,-1,-1
2024,Augusta National Golf Club,1,17,4,4.236,1,4,58,25,1,-1,-1
2024,Augusta National Golf Club,1,18,4,4.416,0,5,47,32,5,-1,-1
