Tournament,Course,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Tour Championship,East Lake Golf Club,98.65,103.28,268.14,90.91,277.02,103.75,279.94,3.9,291.43,270.11,83.21,267.42,175.51,94.4,318.43,267.79,2.15,100.23
Procore Championship,"Silverado Resort, North Course",19.31,308.62,2.66,4.6,117.0,203.11,103.6,131.61,221.22,33.79,32.5,12.22,198.53,358.05,357.5,179.3,110.73,204.79
Ryder Cup,"Bethpage, Black Course",49.31,47.85,187.27,35.18,12.41,132.67,22.65,14.47,236.49,338.1,160.36,252.83,206.68,207.29,344.47,158.16,297.84,199.66
Sanderson Farms Championship,Country Club of Jackson,108.51,115.52,31.05,261.55,261.26,87.77,224.45,289.73,289.35,101.75,84.32,269.14,41.1,91.9,171.09,234.56,305.45,288.88
Baycurrent Classic,Yokohama Country Club,310.03,359.73,185.14,313.3,218.19,168.51,16.93,112.22,122.36,168.34,353.7,180.44,302.76,11.87,199.7,74.32,19.75,138.09
Bank of Utah Championship,Black Desert Resort,207.49,120.75,178.74,180.2,179.97,322.06,33.51,4.41,332.48,250.77,172.87,200.24,7.65,12.36,340.61,348.92,68.72,124.6
World Wide Technology Championship,"Diamante, El Cardonal Course",201.9,146.46,91.86,314.64,135.88,14.98,203.43,17.87,259.08,1.52,188.2,11.89,162.16,0.7,260.84,347.88,170.73,193.01
Bermuda Championship,Port Royal Golf Club,83.17,327.92,249.84,321.46,153.94,177.56,250.58,209.18,104.12,146.04,56.06,232.7,260.35,156.48,305.27,313.49,132.67,344.78
The RSM Classic,"Sea Island, Seaside Course",8.31,350.09,3.48,277.75,241.02,151.36,128.94,152.62,197.17,321.16,300.33,98.26,284.66,359.33,137.25,119.56,275.89,168.76
Hero World Challenge,Albany Bahamas,151.61,203.03,348.16,172.1,125.54,44.19,246.93,66.7,312.45,89.3,137.23,144.59,269.95,81.1,314.91,144.21,329.36,306.96
Grant Thornton Invitational,"Tiburón Golf Club, The Gold Course",91.63,24.64,359.5,342.41,172.7,176.02,243.56,190.94,194.76,239.03,0.82,356.09,56.84,313.97,92.01,47.21,196.25,204.91
