Year,Course,Round,Hole,Par,Avg_Score,Eagles,Birdies,Pars,Bogeys,Doubles,Pin_X_Normalized,Pin_Y_Normalized
2023,Pebble Beach Golf Links,1,5,3,2.94,0,14,27,11,0,0.6808805992115017,0.3191194007884983
2023,Pebble Beach Golf Links,1,6,5,4.48,2,30,16,3,1,0.5755967473485047,0.42440325265149526
2023,Pebble Beach Golf Links,1,7,3,2.96,0,11,33,7,1,0.5776368688012887,0.4223631311987113
2023,Pebble Beach Golf Links,1,8,4,4.33,0,5,32,11,4,0.5314932404402847,0.4685067595597153
2023,Pebble Beach Golf Links,1,9,4,4.31,0,8,25,14,5,0.4816744470366123,0.5183255529633877
2023,Pebble Beach Golf Links,1,10,4,4.04,0,8,35,8,1,0.48885477712400127,0.5111452228759987
2023,Pebble Beach Golf Links,1,11,4,3.75,1,16,30,5,0,0.45294038366575556,0.5470596163342445
2023,Pebble Beach Golf Links,1,12,3,3.17,0,5,33,14,0,0.5350523572095182,0.46494764279048184
2023,Pebble Beach Golf Links,1,13,4,4.06,0,6,37,9,0,0.5918651945826034,0.40813480541739655
2023,Pebble Beach Golf Links,1,14,5,4.71,2,19,25,4,2,0.5514701297575119,0.44852987024248814
2023,Pebble Beach Golf Links,1,15,4,3.96,0,13,29,9,1,0.4940522378762529,0.5059477621237471
2023,Pebble Beach Golf Links,1,16,4,4.02,0,8,35,9,0,0.5510175146287184,0.4489824853712816
2023,Pebble Beach Golf Links,1,17,3,3.06,0,7,35,10,0,0.46792359820380497,0.532076401796195
2023,Pebble Beach Golf Links,1,18,5,5.02,2,18,20,8,4,0.4975466878070634,0.5024533121929367
2024,Pebble Beach Golf Links,3,1,4,3.937,0,14,58,7,1,0.5926883621199925,0.40731163788000746
2024,Pebble Beach Golf Links,3,2,5,4.3,5,47,27,1,0,0.5722754114021182,0.42772458859788176
2024,Pebble Beach Golf Links,3,3,4,3.962,0,12,61,6,0,0.6061971339060706,0.39380286609392945
2024,Pebble Beach Golf Links,3,4,4,3.687,0,26,53,1,0,0.4435384106590089,0.5564615893409911
2024,Pebble Beach Golf Links,3,5,3,3.313,0,4,52,19,5,0.698608584633436,0.301391415366564
2024,Pebble Beach Golf Links,3,6,5,4.437,2,46,28,3,1,0.606997619163653,0.393002380836347
2024,Pebble Beach Golf Links,3,7,3,2.612,0,34,43,3,0,0.3875630847443319,0.6124369152556681
2024,Pebble Beach Golf Links,3,8,4,4.25,0,6,53,18,2,0.5541410331780321,0.4458589668219679
2024,Pebble Beach Golf Links,3,9,4,4.138,0,9,52,18,1,0.46440321575788995,0.5355967842421101
2024,Pebble Beach Golf Links,3,10,4,4.013,0,12,55,13,0,0.5903473384167037,0.4096526615832963
2024,Pebble Beach Golf Links,3,11,4,3.75,2,22,50,6,0,0.4547120161944461,0.5452879838055539
2024,Pebble Beach Golf Links,3,12,3,2.912,0,13,61,6,0,0.5403933267059847,0.4596066732940153
2024,Pebble Beach Golf Links,3,13,4,3.912,0,14,59,7,0,0.5877510813931069,0.41224891860689306
2024,Pebble Beach Golf Links,3,14,5,4.775,1,25,46,7,1,0.5013097327554786,0.49869026724452137
2024,Pebble Beach Golf Links,3,15,4,3.812,0,21,54,4,1,0.5653044917567603,0.43469550824323966
2024,Pebble Beach Golf Links,3,16,4,3.962,0,9,66,4,1,0.5782275012334599,0.4217724987665401
2024,Pebble Beach Golf Links,3,17,3,2.85,0,16,61,2,1,0.572312082709929,0.42768791729007105
2024,Pebble Beach Golf Links,3,18,5,4.45,1,48,25,6,0,0.6408676657537417,0.35913233424625834
2024,Pebble Beach Golf Links,2,1,4,3.8,0,10,28,2,0,0.5530694593971223,0.44693054060287773
2024,Pebble Beach Golf Links,2,2,5,4.15,6,23,10,1,0,0.40085597118709393,0.5991440288129061
2024,Pebble Beach Golf Links,2,3,4,4.0,0,3,34,3,0,0.5886394546015554,0.4113605453984446
2024,Pebble Beach Golf Links,2,4,4,3.75,0,14,23,2,1,0.6206945045088952,0.3793054954911048
2024,Pebble Beach Golf Links,2,5,3,3.075,0,6,26,7,1,0.3451852106310917,0.6548147893689082
2024,Pebble Beach Golf Links,2,6,5,4.45,2,19,18,1,0,0.46580369262662075,0.5341963073733793
2024,Pebble Beach Golf Links,2,7,3,2.775,0,13,23,4,0,0.5724758744111087,0.4275241255888913
2024,Pebble Beach Golf Links,2,8,4,3.925,0,9,25,6,0,0.49626767198372357,0.5037323280162764
2024,Pebble Beach Golf Links,2,9,4,4.25,0,2,28,8,2,0.6439244776038618,0.35607552239613816
